Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
542367,XELPMOC,B,90.05,90.50,85.70,86.00,11055,9.59,386
540147,SHASHIJIT,B,42.00,42.69,40.56,41.22,23235,9.59,110
532674,BASML,B,51.27,51.27,48.00,48.00,19584,9.57,363
532369,RAMCOIND,B,193.65,193.70,180.15,183.50,5118,9.56,236
519295,BAMBINO,X,324.95,329.10,319.00,325.75,2952,9.56,77
537007,ICICINIFTY,B,219.30,220.07,218.50,219.00,4364,9.56,175
543830,LABELKRAFT,M,81.00,81.00,79.00,79.00,12000,9.54,6
538081,HARIAAPL,X,5.10,5.93,5.10,5.70,169591,9.53,405
543375,PROMAX,M,54.34,55.00,54.00,54.00,17500,9.48,7
517096,APLAB,XT,64.55,64.55,61.37,61.38,15329,9.43,67
513713,WHITEORG,X,8.12,8.25,7.65,7.94,118695,9.41,388
533014,SICAGEN,XT,43.15,44.15,41.20,41.30,22307,9.37,126
540311,JITFINFRA,T,491.95,491.95,460.00,460.00,2015,9.36,55
511589,AVONMORE,T,76.39,77.40,72.60,76.27,12469,9.36,121
538965,CONCORD,X,36.50,36.75,33.60,35.18,26195,9.29,141
543410,DMR,M,77.17,77.17,77.17,77.17,12000,9.26,2
531923,DHAMPURE,XT,49.80,50.25,49.80,50.25,18529,9.25,31
534680,SRGHFL,B,272.00,272.00,244.45,248.20,3671,9.23,483
540956,BHATIA,B,18.47,18.47,17.65,17.95,51361,9.22,371
541703,GFIL,M,19.84,19.84,19.84,19.84,46400,9.20,13
539228,GGPL,XT,5.68,5.68,5.68,5.68,162101,9.20,206
538565,VISTARAMAR,X,277.60,286.00,273.55,275.50,3311,9.18,175
513401,ASHIS,X,37.71,37.71,32.14,35.00,26455,9.17,108
539854,HALDER,X,348.70,372.00,305.60,326.25,2790,9.16,109
540006,EASTWEST,X,5.54,5.71,5.13,5.14,168475,9.14,203
543263,SMCGLOBAL,B,79.60,81.73,77.02,78.20,11598,9.12,266
519457,VIRATCRA,XT,51.50,51.50,47.69,47.69,19082,9.12,77
530079,FAZE3Q,B,395.45,395.45,372.20,374.10,2366,9.08,306
509966,VSTIND,A,3535.00,3537.75,3435.30,3530.00,259,9.05,100
533941,THOMASCOTT,T,77.50,83.00,77.50,83.00,11144,9.05,64
511333,VLSFINANCE,B,209.80,210.85,195.00,196.25,4439,9.04,265
542730,ICICIBANKN,B,46.14,46.16,45.80,46.00,19627,9.03,119
523537,APMIN,X,53.00,53.38,51.00,51.23,17353,9.00,164
501298,INDPRUD,X,3459.15,3536.00,3400.00,3453.00,258,8.97,54
513418,SMFIL,X,5.26,5.39,4.30,4.79,188618,8.94,437
542670,AEPL,T,15.75,15.75,15.17,15.17,58214,8.94,137
537573,POLYMAC,M,32.90,33.15,32.00,32.50,27200,8.94,23
523467,JAIMATAG,XT,1.86,1.86,1.70,1.72,507510,8.93,608
524711,VISTAPH,XT,16.81,16.85,16.81,16.85,52913,8.90,84
512527,SUPER,XT,1235.00,1235.00,1181.30,1200.00,742,8.88,28
501430,BOMBCYC,X,1074.95,1074.95,975.00,986.40,890,8.87,99
540726,TTFL,B,75.84,75.84,67.00,68.42,12513,8.87,319
506579,ORIENTCQ,B,858.95,866.90,814.60,815.00,1068,8.86,235
532641,NDL,B,24.76,24.89,21.80,22.34,38165,8.84,634
543171,ROJL,T,4.73,4.73,4.51,4.66,189666,8.81,334
539226,RUDRA,XT,113.50,113.50,113.50,113.50,7744,8.78,97
500279,MIRCELECTR,T,25.08,25.08,25.08,25.08,35010,8.78,31
523391,NAHARPOLY,B,262.95,262.95,243.50,246.45,3511,8.77,434
526492,RISHIROOP,X,139.00,139.00,128.00,131.15,6572,8.73,101
517214,DIGISPICE,T,35.56,36.74,34.41,34.48,25061,8.72,186
540679,SMSLIFE,B,529.10,529.10,509.95,520.40,1700,8.71,187
507910,FIBERWEB,B,33.00,33.29,29.91,30.47,27971,8.69,387
538923,SOFCOM,XT,64.00,65.28,64.00,64.80,13490,8.67,15
532767,GAYAPROJ,T,7.31,7.31,6.63,6.63,128178,8.67,212
523710,SAYAJIHOTL,XT,312.80,312.80,312.80,312.80,2750,8.60,93
523676,GOLKUNDIA,X,115.00,121.65,105.50,108.10,7656,8.59,152
509692,INDIANCARD,B,278.15,278.15,258.00,261.65,3187,8.57,172
531411,TUNITEX,X,1.71,1.71,1.56,1.62,518105,8.55,466
543473,HEALTHY,B,9.89,9.95,9.78,9.83,86560,8.53,336
523648,PLASTIBLEN,B,228.05,228.05,215.60,222.95,3854,8.51,269
523283,SUPERHOUSE,B,222.10,222.10,212.45,214.40,3921,8.51,215
